Constructors,constructor_mean_GMS,puzzle_count_GMS
Kate Hawkins,-17.25,12
Kate Schutzengel,2.0,1
Kathryn Ladner,-12.33,3
Kathy Bloomer,-15.0,2
Kathy Lowden,-15.0,1
Kathy Lowden and Erik Piepenburg,-14.0,1
Kathy Lowden and Tess Davison,12.0,1
Kathy Wienberg,0.33,6
Katie Hale,-28.33,3
Katie Hale and Scott Hogan,9.0,1
Katie Hale and Zachary David Levy,-8.0,1
Kavin Pawittranon and Nijah Morris,-24.0,2
Keiran King,-39.0,2
Kelly Morenus,-12.0,1
Kenneth Cortes,-10.0,1
Kevin Adamick,1.0,1
Kevin Christian,11.0,2
Kevin G. Der,39.67,3
Kevin Patterson,-24.5,4
Kiran Pandey,0.0,2
Kristian House,-14.0,3
Kristian House and Mike Dockins,6.5,2
Kunal Nabar,-21.0,1
Kurt Weller,-9.5,1
Kyle Dolan,3.91,11
Kyra Wilson,-27.0,1
Lance Enfinger,1.0,1
Laura Braunstein,-38.0,1
Laura Breiman and Tom Bachant,-14.0,1
Laura Taylor Kinnel,-8.67,6
Lee Taylor,-16.0,5
Leslie Young,-24.25,4
Lewis Dean Hyatt,-10.0,1
Lewis Rothlein,8.67,3
Li Ding,-25.0,1
Lillian Simpson,-20.0,1
Lindsay McBride,-16.0,1
Lindsey Hobbs,-12.67,3
Lisa Bunker,32.0,1
Lou Weiss,-28.0,1
Luke K. Schreiber,-16.0,1
Luke Vaughn,-6.33,3
Lynn Lempel,-12.0,20
Madeline Kaplan,1.0,1
Malaika Handa,-16.33,3
Malgorzata Nowakowska and Eileen Williams,-12.0,1
Manaal Mohammed,-6.0,1
Mangesh Ghogre,-4.0,1
Margaret Saine,-13.0,1
Margaret Seikel,-25.33,6
Margit Christenson,-17.0,1
Mark Diehl,7.0,6
Mark MacLachlan,34.0,1
Martha Kimes,-26.0,1
Martin Ashwood-Smith,-13.0,2
Mary Crane,-25.0,1
Mary Lou Guizzo,-7.75,4
MaryEllen Uthlaut,-6.0,1
Matt Frederick,4.0,1
Matt Fuchs,-35.0,1
Matt Fuchs and Victor Sloan,13.0,1
Matt Ginsberg,7.5,4
Matthew Linzer,-11.0,1
Matthew Sewell,10.0,4
Matthew Stock,-14.44,8
Matthew Stock and Alina Abidi,-4.0,1
Matthew Stock and Caryn Robbins,-11.0,1
Matthew Stock and Chandi Deitmer,-44.0,1
Matthew Stock and Enrique Henestroza Anguiano,-3.0,1
Matthew Stock and Erica Hsiung Wojcik,-20.0,2
Matthew Stock and Finn Vigeland,-15.0,1
Matthew Stock and Nam Jin Yoon,-20.0,1
Matthew Stock and Priyanka Sethy,-14.0,1
Matthew Stock and Sid Sivakumar,-8.33,3
Matthew Stock and Vaibhav Srikaran,-18.0,1
Matthew Trout,-19.0,1
Max Carpenter,-22.0,1
Max Chen Lauring,-3.0,1
Max Chen Lauring and Benjamin Chen Lauring,-13.0,1
Meconya Alford,16.0,1
Meghan Morris,13.0,3
Meredith Colton Hazy,-15.0,1
Michael B. Berg,-17.0,1
Michael Black,6.0,2
Michael Dewey,12.0,1
Michael Hawkins,-14.5,10
Michael Lieberman,-15.55,11
Michael Lieberman and Adam Wagner,-2.0,1
Michael Lieberman and Rafael Musa,-26.0,1
Michael Paleos,-17.33,6
Michael S. Maurer and Joe Donnelly,-7.0,1
Michael Schlossberg,-16.78,9
Michael T. Buerke,-1.0,1
Michele Govier,-17.0,1
Mike Hobin,-9.0,1
Mike Knobler,-14.0,2
Milo Beckman,-3.0,1
Miranda Kany,-22.0,2
Miriam Estrin,-20.0,1
Morton J. Mendelson,16.0,1
Nam Jin Yoon,-21.29,7
Nancy Serrano-Wu,-5.0,1
Natalie Murphy,48.0,1
Natan Last,-0.17,6
Natan Last and Andy Kravis and the J.A.S.A. Crossword Class,-20.57,7
Natan Last and the J.A.S.A. Crossword Class,-2.5,2
Nate Cardin,-35.67,3
